File;ORM_check;ORM_invited_or_challange;IRM_check;IRM_invited_or_challange;Folder;ID;Start Date;End Date;Process Category;Tribe;Type
;;;;;Lease/Process change/2023-07-12 RDW aan  afmelden;1873;2023-07-12 00:00:00;2024-04-25 00:00:00;Other change (non-PAP);Lease;Change
;;;;;Z_Other/Consumer Lending & Insurance/2023-07-12 Loannorm Update 2023;1874;2023-07-12 00:00:00;2024-01-08 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Hypotheken/Z_Other/2023-07-13 Construction deposit improvements  rationalisation;1878;2023-07-13 00:00:00;2024-05-28 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Lenen zakelijk/Z_Other/2023-07-17 Know Your Customer Automation in Blend;1884;2023-07-17 00:00:00;2024-04-29 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Customer IT Systems & Processes/Process change/2023-07-25 Gen AI enabled chatbot NL;1910;2023-07-25 00:00:00;2024-12-17 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Assisted Channels;Change
;;;;;Hypotheken/Z_Other/2023-07-25 Approve TRA in MING;1912;2023-07-25 00:00:00;2024-02-20 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Current accounts/Kinderrekening/2023-07-26 Rewrite Productpages Child Account and Youth Account;1915;2023-07-26 00:00:00;2024-10-01 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Customer Data/Process change/2023-07-26 Mobile Onboarding  Business Banking;1917;2023-07-26 00:00:00;2024-03-29 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2023-07-26 100 propositions Gen Z  Awareness phase;1920;2023-07-26 00:00:00;2024-10-17 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Payments Acquiring/Digitaliseren POS Acquiring/2023-07-31 Digitaliseren InLife management POS Acquiring;1928;2023-07-31 00:00:00;2024-11-22 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Customer IT Systems & Processes/Other/2023-07-31 3328650 Manage Financial Overview from the App;1930;2023-07-31 00:00:00;2024-10-07 00:00:00;Other change (non-PAP);Tribe Assisted Channels;Change
;;;;;Verzekeren/ING Woonverzekering/2023-07-31 Increase rebuild value to 1mln;1932;2023-07-31 00:00:00;2024-12-09 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Lenen zakelijk/Z_Other/2023-08-02 HRCK Legacy deviation from solution in MIA ISSUE10057771 (new version);1942;2023-08-02 00:00:00;2024-03-13 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Digital Sales/Personalization/2023-08-04 Priority Messages;1955;2023-08-04 00:00:00;2025-04-08 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;C:/Users/WW20AQ/ING/Product Evaluation and Risk Assessment Library (PEARL) - Documents/Pearl_Repository/Current accounts/Kinderrekening/2023-08-04 Child account plus orange savings account;1962;2023-08-04 00:00:00;2025-02-21 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Daily Banking & Digital First;Change
;;;;;Credit Cards/Commercial Credit Cards/2023-08-08 CommercialCardsOverview;1968;2023-08-08 00:00:00;2024-02-02 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Verzekeren/Z_Other/2023-08-08 Adjustment of the claim pages;1970;2023-08-08 00:00:00;2025-02-24 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Hypotheken - WUB/Z_Other/2023-08-09 Customer approach Interest Only Stater;1972;2023-08-09 00:00:00;2024-04-25 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Verzekeren/Business Zekerheidspakket/2023-08-09 Campaign 3 months free general liability;1974;2023-08-09 00:00:00;2024-04-10 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Z_Other/Tribe Business Lending/2023-08-10 ComplyExplain for Partnerfinancieringen;1981;2023-08-10 00:00:00;2024-03-12 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Beleggingsrekeningen/Beleggen App/2023-08-14 Instrument details in the Mobile Banking App;1991;2023-08-14 00:00:00;2024-03-14 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-08-17 Easy Invest Call2Growth  DVT;2002;2023-08-17 00:00:00;2024-12-17 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Investments;Change
;;;;;Customer IT Systems & Processes/Process change/2023-08-22 NonFTF complaints to Iris;2012;2023-08-22 00:00:00;2024-10-31 00:00:00;Other change (non-PAP);Tribe Assisted Channels;Change
;;;;;Verzekeren/Z_Other/2023-08-22 Explanation of insurance renewal;2013;2023-08-22 00:00:00;2024-03-28 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Lenen zakelijk/Z_Other/2023-08-23 Climate Risk Assessment full implementation;2015;2023-08-23 00:00:00;2024-07-05 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Branding/Other/2023-08-31 Seaters;2039;2023-08-31 00:00:00;2024-08-02 00:00:00;Risk assessment (non-PAP);CoE Communications & Brand Experience;Change
;;;;;Private Banking _ Wealth/Z_Other/2023-09-04 04092023 Specials;2043;2023-09-04 00:00:00;2024-01-03 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Lenen zakelijk/Z_Other/2023-09-04 Extended Covenant Monitoring;2048;2023-09-04 00:00:00;2024-01-17 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Digital Sales/Mortgages/2023-09-05 Stop prefill funda Monthly Cost Indicator (MLI);2050;2023-09-05 00:00:00;2024-08-12 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Lenen zakelijk/Z_Other/2023-09-06 PARP BLEND Credit Offer;2061;2023-09-06 00:00:00;2024-11-28 00:00:00;Communication;Tribe Business Lending;Change
;;;;;Digital Sales/Personalization/2023-09-06 New Insights  Total Flows InOut of current account;2063;2023-09-06 00:00:00;2024-07-15 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2023-09-06 New Insights  Savings related progress;2064;2023-09-06 00:00:00;2024-07-16 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2023-09-06 New Insights  Engagement Feature Magician Mode;2065;2023-09-06 00:00:00;2024-07-15 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Credit Cards/Commercial Credit Cards/2023-09-08 Add automated BKR check on output PDF CLT;2071;2023-09-08 00:00:00;2024-02-02 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Verzekeren/Z_Other/2023-09-08 Premium payment;2085;2023-09-08 00:00:00;2024-03-11 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Fraud/Process change/2023-09-11 Instant Username;2095;2023-09-11 00:00:00;2024-03-21 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-09-20 Implementing external consolidation;2130;2023-09-20 00:00:00;2025-01-17 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;KYC/Process change/2023-09-21 Make sanctions questionnaire available via a hidden direct link;2135;2023-09-21 00:00:00;2024-10-23 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-09-26 Feature 3904463 OpSafe investing campaign;2138;2023-09-26 00:00:00;2024-12-17 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Investments;Change
;;;;;Payments Mobile Payments/Mobiel Betalen/2023-09-26 Mobile card Icons;2142;2023-09-26 00:00:00;2024-10-07 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Customer Data/Process change/2023-09-27 Improve process change of address for non digital clients;2147;2023-09-27 00:00:00;2025-02-14 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Verzekeren/Z_Other/2023-09-28 NN Call Centre FEC check;2148;2023-09-28 00:00:00;2024-02-02 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Hypotheken/Z_Other/2023-09-29 Data sharing  Consent;2152;2023-09-29 00:00:00;2024-05-14 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Lenen zakelijk/New product/2023-09-29 ING CheckAhead Referral Module;2153;2023-09-29 00:00:00;2024-03-07 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Doorlopend Krediet/Z_Other/2023-10-02 risklog update Lapwing Q3Q4 2023;2157;2023-10-02 00:00:00;2024-02-16 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Hypotheken/Overbruggingshypotheek/2023-10-03 collection of bridging mortgage;2160;2023-10-03 00:00:00;2024-02-16 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Hypotheken/Maatwerkhypotheek/2023-10-03 Communicatie Life Cycle ING Maatwerk Hypotheek;2163;2023-10-03 00:00:00;2024-02-12 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Z_Other/Tribe Business Lending/2023-10-04 GZ Attach for material modifications in MidCorps;2165;2023-10-04 00:00:00;2024-02-28 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Tribe Business Lending/2023-10-04 Implementation of updated Review Policy;2166;2023-10-04 00:00:00;2024-02-28 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;HR Processes & Systems/Other/2023-10-05 LTO WFT MIFID Lindehaege;2169;2023-10-05 00:00:00;2024-02-05 00:00:00;Other change (non-PAP);People Services;Change
;;;;;Beleggingsrekeningen/Z_Other/2023-10-05 Aladdin;2170;2023-10-05 00:00:00;2024-04-24 00:00:00;Risk assessment (non-PAP);Tribe Investments;Change
